utr_id	fc	utr8	utr7m8	utr7A1
FBgn0000326	-0.329	0	0	0
FBgn0000330	-0.188	0	0	0
FBgn0000339	-0.162	0	0	0
FBgn0000352	-0.045	0	0	0
FBgn0000370	-0.069	0	0	0
FBgn0000376	-0.005	0	0	0
FBgn0000377	0.118	0	0	0
FBgn0000392	-0.250	0	0	0
FBgn0000394	-0.165	0	0	0
FBgn0000395	-1.132	0	0	0
FBgn0000404	0.162	0	0	0
FBgn0000405	0.039	0	0	0
FBgn0000409	-0.001	0	0	0
FBgn0000412	0.087	0	0	0
FBgn0000416	0.124	0	0	0
FBgn0000426	-0.193	0	0	0
FBgn0000447	0.146	0	0	0
FBgn0000454	-0.448	0	0	0
FBgn0000455	-0.154	0	0	0
FBgn0000482	-0.220	0	0	0
FBgn0000499	0.206	0	0	0
FBgn0000520	0.559	0	0	0
FBgn0000524	-0.175	0	0	0
FBgn0000536	-0.107	0	0	0
FBgn0000542	0.569	0	0	0
FBgn0000543	0.119	0	0	0
FBgn0000556	0.034	0	0	0
FBgn0000559	-0.051	0	0	0
FBgn0000562	0.277	0	0	0
FBgn0000565	-0.256	0	0	0
FBgn0000566	0.150	0	0	0
FBgn0000578	0.168	0	0	0
FBgn0000579	-0.106	0	0	0
FBgn0000581	0.079	0	0	0
FBgn0000588	-0.424	0	0	0
FBgn0000611	0.016	0	0	0
FBgn0000615	-0.090	0	0	0
FBgn0000617	-0.027	0	0	0
FBgn0000618	0.586	0	0	0
FBgn0000629	0.305	0	0	0
FBgn0000662	-0.259	0	0	0
FBgn0000667	-0.042	0	0	0
FBgn0000709	-0.016	0	0	0
FBgn0000711	-0.303	0	0	0
FBgn0000719	0.306	0	0	0
FBgn0000721	-0.280	0	0	0
FBgn0000723	-0.531	0	0	0
FBgn0000826	1.344	0	0	0
FBgn0000928	0.386	0	0	0
FBgn0000996	-0.007	0	0	0
FBgn0001079	0.055	0	0	0
FBgn0001086	-0.192	0	0	0
FBgn0001091	0.159	0	0	0
FBgn0001092	-0.065	0	0	0
FBgn0001098	-0.348	0	0	0
FBgn0001104	0.133	0	0	0
FBgn0001105	-0.245	0	0	0
FBgn0001108	0.051	0	0	0
FBgn0001114	0.658	0	0	0
FBgn0001123	0.322	0	0	0
FBgn0001124	0.046	0	0	0
FBgn0001125	-0.480	0	0	0
FBgn0001128	0.892	0	0	0
FBgn0001133	-0.084	0	0	0
FBgn0001139	-0.148	0	0	0
FBgn0001142	1.357	0	0	0
FBgn0001145	-0.971	0	0	0
FBgn0001148	-0.188	0	0	0
FBgn0001149	-0.494	0	0	0
FBgn0001168	-0.017	0	0	0
FBgn0001179	-0.202	0	0	0
FBgn0001185	0.004	0	0	0
FBgn0001186	0.077	0	0	0
FBgn0001189	-1.583	0	0	0
FBgn0001197	0.127	0	0	0
FBgn0001202	0.480	0	0	0
FBgn0001206	0.365	0	0	0
FBgn0001215	0.234	0	0	0
FBgn0001218	0.315	0	0	0
FBgn0001220	-0.137	0	0	0
FBgn0001222	-0.392	0	0	0
FBgn0001223	-0.792	0	0	0
FBgn0001224	-0.355	0	0	0
FBgn0001225	-0.735	0	0	0
FBgn0001226	-1.072	0	0	0
FBgn0001230	-0.506	0	0	0
FBgn0001233	-0.158	0	0	0
FBgn0001247	0.192	0	0	0
FBgn0001248	-0.291	0	0	0
FBgn0001257	-0.220	0	0	0
FBgn0001276	0.410	0	0	0
FBgn0001280	0.189	0	0	0
FBgn0001291	-0.860	0	0	0
FBgn0001297	0.075	0	0	0
FBgn0001301	-0.061	0	0	0
FBgn0001308	-0.099	0	0	0
FBgn0001316	0.014	0	0	0
FBgn0001324	0.007	0	0	0
FBgn0001330	-0.202	0	0	0
FBgn0001341	-0.008	0	0	0
FBgn0001404	0.350	0	0	0
FBgn0001491	-0.247	0	0	0
FBgn0001565	0.048	0	0	0
FBgn0001612	-0.319	0	0	0
FBgn0001941	-0.302	0	0	0
FBgn0001942	-0.055	0	0	0
FBgn0001961	-0.276	0	0	0
FBgn0001965	0.044	0	0	0
FBgn0001970	-0.022	0	0	0
FBgn0001974	0.188	0	0	0
FBgn0001977	-0.163	0	0	0
FBgn0001978	-0.157	0	0	0
FBgn0001986	0.136	0	0	0
FBgn0001987	-0.571	0	0	0
FBgn0001989	-0.109	0	0	0
FBgn0001990	-0.852	0	0	0
FBgn0001995	-0.280	0	0	0
FBgn0002021	-0.182	0	0	0
FBgn0002022	0.140	0	0	0
FBgn0002031	-0.411	0	0	0
FBgn0002044	0.065	0	0	0
FBgn0002069	-0.188	0	0	0
FBgn0002121	-0.049	0	0	0
FBgn0002174	-0.041	0	0	0
FBgn0002183	-0.058	0	0	0
FBgn0002283	0.077	0	0	0
FBgn0002284	-0.090	0	0	0
FBgn0002354	0.596	0	0	0
FBgn0002413	0.515	0	0	0
FBgn0002431	0.120	0	0	0
FBgn0002441	0.064	0	0	0
FBgn0002466	0.263	0	0	0
FBgn0002524	-0.337	0	0	0
FBgn0002525	0.193	0	0	0
FBgn0002526	-0.352	0	0	0
FBgn0002542	-0.032	0	0	0
FBgn0002543	-0.072	0	0	0
FBgn0002552	-0.193	0	0	0
FBgn0002566	0.244	0	0	0
FBgn0002579	0.112	0	0	0
FBgn0002590	-0.075	0	0	0
FBgn0002593	0.037	0	0	0
FBgn0002607	0.030	0	0	0
FBgn0002622	0.097	0	0	0
FBgn0002626	0.027	0	0	0
FBgn0002638	-0.094	0	0	0
FBgn0002641	-0.617	0	0	0
FBgn0002645	-0.133	0	0	0
FBgn0002707	0.104	0	0	0
FBgn0002715	-0.405	0	0	0
FBgn0002719	-0.375	0	0	0
FBgn0002736	0.049	0	0	0
FBgn0002774	-0.089	0	0	0
FBgn0002775	-0.199	0	0	0
FBgn0002778	-0.431	0	0	0
FBgn0002780	-0.172	0	0	0
FBgn0002781	-0.082	0	0	0
FBgn0002783	0.053	0	0	0
FBgn0002787	0.334	0	0	0
FBgn0002791	0.182	0	0	0
FBgn0002868	-0.621	0	0	0
FBgn0002872	0.450	0	0	0
FBgn0002873	0.148	0	0	0
FBgn0002878	0.044	0	0	0
FBgn0002891	0.250	0	0	0
FBgn0002899	0.178	0	0	0
FBgn0002901	-0.337	0	0	0
FBgn0002905	0.200	0	0	0
FBgn0002906	0.448	0	0	0
FBgn0002914	0.219	0	0	0
FBgn0002921	-0.085	0	0	0
FBgn0002922	-0.700	0	0	0
FBgn0002924	0.258	0	0	0
FBgn0002948	-0.122	0	0	0
FBgn0002989	-0.508	0	0	0
FBgn0003008	0.081	0	0	0
FBgn0003041	-0.056	0	0	0
FBgn0003048	-0.411	0	0	0
FBgn0003062	-0.386	0	0	0
FBgn0003067	-0.305	0	0	0
FBgn0003071	0.239	0	0	0
FBgn0003074	0.211	0	0	0
FBgn0003076	0.158	0	0	0
FBgn0003079	-0.167	0	0	0
FBgn0003082	-0.270	0	0	0
FBgn0003087	-0.354	0	0	0
FBgn0003116	0.547	0	0	0
FBgn0003117	-0.179	0	0	0
FBgn0003118	-0.077	0	0	0
FBgn0003124	-0.088	0	0	0
FBgn0003134	-0.081	0	0	0
FBgn0003137	-0.245	0	0	0
FBgn0003139	0.020	0	0	0
FBgn0003141	0.207	0	0	0
FBgn0003165	-0.034	0	0	0
FBgn0003169	0.194	0	0	0
FBgn0003175	0.444	0	0	0
FBgn0003189	0.121	0	0	0
FBgn0003204	-0.062	0	0	0
FBgn0003205	-0.209	0	0	0
FBgn0003206	-0.445	0	0	0
FBgn0003209	0.092	0	0	0
FBgn0003210	-0.263	0	0	0
FBgn0003227	0.578	0	0	1
FBgn0003231	0.074	0	0	0
FBgn0003256	0.044	0	0	0
FBgn0003257	0.088	0	0	0
FBgn0003261	-0.085	0	0	0
FBgn0003268	0.012	0	0	0
FBgn0003274	0.080	0	0	0
FBgn0003275	-0.049	0	0	0
FBgn0003277	-0.009	0	0	0
FBgn0003278	-0.013	0	0	0
FBgn0003279	0.004	0	0	0
FBgn0003301	-0.130	0	0	0
FBgn0003317	-0.852	0	0	0
FBgn0003321	-0.247	0	0	0
FBgn0003328	-1.661	0	0	0
FBgn0003330	-0.045	0	0	0
FBgn0003334	-0.359	0	0	0
FBgn0003345	0.063	0	0	0
FBgn0003346	0.061	0	0	0
FBgn0003360	0.118	0	0	0
FBgn0003371	0.063	0	0	0
FBgn0003392	-0.200	0	0	0
FBgn0003401	0.534	0	0	0
FBgn0003423	0.403	0	0	0
FBgn0003444	-1.669	0	0	0
FBgn0003449	0.172	0	0	0
FBgn0003459	0.442	0	0	0
FBgn0003462	-0.332	0	0	0
FBgn0003464	-0.092	0	1	0
FBgn0003475	0.462	0	0	0
FBgn0003479	-0.033	0	0	0
FBgn0003480	-0.013	0	0	0
FBgn0003482	-0.123	0	0	0
FBgn0003483	-0.109	0	0	0
FBgn0003495	0.266	0	0	0
FBgn0003507	0.027	0	0	0
FBgn0003510	-0.777	0	0	0
FBgn0003511	-0.637	0	0	0
FBgn0003512	-0.091	0	0	0
FBgn0003514	0.029	0	0	0
FBgn0003517	0.021	0	0	0
FBgn0003525	0.242	0	0	0
FBgn0003545	-0.084	0	0	0
FBgn0003557	0.092	0	0	0
FBgn0003559	0.332	0	0	0
FBgn0003567	-0.295	0	0	0
FBgn0003575	-0.229	0	0	0
FBgn0003598	0.224	0	0	0
FBgn0003607	0.164	0	0	0
FBgn0003612	-0.056	0	0	0
FBgn0003638	-0.141	0	0	0
FBgn0003654	-0.068	0	0	0
FBgn0003656	-0.359	0	0	0
FBgn0003660	0.070	0	0	0
FBgn0003676	-0.283	0	0	0
FBgn0003687	-0.223	0	0	0
FBgn0003701	0.022	0	0	0
FBgn0003714	0.146	0	0	0
FBgn0003716	-0.594	0	0	0
FBgn0003721	0.355	0	0	0
FBgn0003732	-0.007	0	0	0
FBgn0003741	1.017	0	0	0
FBgn0003742	0.278	0	0	0
FBgn0003744	-0.263	0	0	0
FBgn0003748	-0.271	0	0	0
FBgn0003882	0.130	0	0	0
FBgn0003884	-0.272	0	0	0
FBgn0003885	-0.214	0	0	0
FBgn0003887	-0.378	0	0	0
FBgn0003888	0.035	0	0	0
FBgn0003890	-0.332	0	0	0
FBgn0003891	-0.181	0	0	0
FBgn0003892	-0.037	0	0	0
FBgn0003900	-0.351	0	0	0
FBgn0003941	0.187	0	0	0
FBgn0003942	0.234	0	0	0
FBgn0003943	-0.027	0	0	0
FBgn0003963	0.141	0	0	0
FBgn0003964	-0.183	0	0	0
FBgn0003969	-0.170	0	0	0
FBgn0003977	0.053	0	0	0
FBgn0003978	-0.529	0	0	0
FBgn0003996	-0.242	0	0	0
FBgn0004050	0.104	0	0	0
FBgn0004055	0.013	0	0	0
FBgn0004057	-0.107	0	0	0
FBgn0004066	-0.064	0	0	0
FBgn0004087	0.588	0	0	0
FBgn0004101	-0.027	0	0	0
FBgn0004103	0.105	0	0	0
FBgn0004106	0.127	0	0	0
FBgn0004107	-0.256	0	0	0
FBgn0004132	0.426	0	0	0
FBgn0004133	0.110	0	0	0
FBgn0004167	-0.039	0	0	0
FBgn0004177	0.114	0	0	0
FBgn0004179	0.261	0	0	0
FBgn0004197	0.396	0	0	0
FBgn0004237	0.391	0	0	0
FBgn0004240	0.724	0	0	0
FBgn0004362	0.146	0	0	0
FBgn0004363	-0.141	0	0	0
FBgn0004367	0.107	0	0	0
FBgn0004368	-0.318	0	0	0
FBgn0004374	-0.069	0	0	0
FBgn0004378	0.025	0	0	0
FBgn0004379	0.176	0	0	0
FBgn0004380	0.128	0	0	0
FBgn0004381	-0.884	0	0	0
FBgn0004387	-0.004	0	0	0
FBgn0004390	-0.115	0	0	0
FBgn0004391	-0.476	0	0	0
FBgn0004397	-1.716	0	0	0
FBgn0004401	0.045	0	0	0
FBgn0004403	0.034	0	0	0
FBgn0004404	-0.118	0	0	0
FBgn0004406	0.077	0	0	0
FBgn0004419	-0.108	0	0	0
FBgn0004432	0.072	0	0	0
FBgn0004436	0.115	0	0	0
FBgn0004449	-0.219	0	0	0
FBgn0004463	-0.135	0	0	0
FBgn0004465	0.033	0	0	0
FBgn0004507	0.170	0	0	0
FBgn0004509	-0.526	0	0	0
FBgn0004510	-0.296	0	0	0
FBgn0004556	0.106	0	0	0
FBgn0004569	-0.108	0	0	0
FBgn0004574	-0.026	0	0	0
FBgn0004583	0.014	1	0	0
FBgn0004584	0.109	0	0	0
FBgn0004587	0.063	0	0	0
FBgn0004597	0.521	0	0	0
FBgn0004598	-0.024	0	0	0
FBgn0004606	0.049	0	0	0
FBgn0004611	0.192	0	0	0
FBgn0004629	0.495	0	0	0
FBgn0004636	-0.286	0	0	0
FBgn0004638	0.158	0	0	0
FBgn0004643	0.125	0	0	0
FBgn0004647	-0.291	0	0	0
FBgn0004648	0.148	0	0	0
FBgn0004654	-0.158	0	0	0
FBgn0004655	0.296	0	0	0
FBgn0004656	-0.074	0	0	0
FBgn0004657	-1.880	0	0	0
FBgn0004687	0.237	0	0	0
FBgn0004698	-0.173	0	0	0
FBgn0004797	0.298	0	0	0
FBgn0004811	0.610	0	0	0
FBgn0004828	-0.004	0	0	0
FBgn0004832	0.121	0	0	0
FBgn0004838	0.139	0	0	0
FBgn0004855	-0.537	0	0	0
FBgn0004856	0.241	0	0	0
FBgn0004861	-0.485	0	0	0
FBgn0004864	0.322	0	0	0
FBgn0004867	-0.143	0	0	0
FBgn0004868	0.079	0	0	0
FBgn0004875	0.064	0	0	0
FBgn0004888	0.214	0	0	0
FBgn0004889	0.266	0	0	0
FBgn0004893	0.803	0	0	0
FBgn0004901	0.259	0	0	0
FBgn0004903	-0.132	0	1	0
FBgn0004907	0.186	0	0	0
FBgn0004908	-0.113	0	0	0
FBgn0004913	-0.121	0	0	0
FBgn0004914	-0.271	0	0	0
FBgn0004915	0.194	0	0	0
FBgn0004919	-0.165	0	0	0
FBgn0004921	0.167	0	0	0
FBgn0004924	0.448	0	0	0
FBgn0004926	0.042	0	0	0
FBgn0004957	-0.394	0	0	0
FBgn0005198	0.373	0	0	0
FBgn0005278	-0.162	0	0	0
FBgn0005322	-0.143	0	0	0
FBgn0005355	-0.856	0	0	0
FBgn0005386	0.259	0	0	0
FBgn0005411	-0.127	0	0	0
FBgn0005533	-0.022	0	0	0
FBgn0005585	0.205	0	0	0
FBgn0005593	0.131	0	0	0
FBgn0005596	-0.097	0	0	0
FBgn0005616	0.030	0	0	0
FBgn0005617	-0.010	0	0	0
FBgn0005630	0.032	0	0	0
FBgn0005632	-0.208	0	0	0
FBgn0005636	0.034	0	0	0
FBgn0005642	-0.099	0	0	0
FBgn0005648	-0.862	0	0	0
FBgn0005649	0.009	0	0	0
FBgn0005654	-0.298	0	0	0
FBgn0005655	0.073	0	0	0
FBgn0005660	0.237	0	0	0
FBgn0005671	-0.260	0	0	0
FBgn0005672	-0.662	0	0	0
FBgn0005674	0.021	0	0	0
FBgn0005683	-0.191	0	1	0
FBgn0005695	0.044	0	0	0
FBgn0005696	0.224	0	0	0
FBgn0005777	-0.140	0	0	0
FBgn0008635	0.030	0	0	0
FBgn0010019	1.168	0	0	0
FBgn0010038	-2.750	0	0	0
FBgn0010039	0.125	0	0	0
FBgn0010040	0.393	0	0	0
FBgn0010041	-0.441	0	0	0
FBgn0010043	-0.256	0	0	0
FBgn0010051	0.092	0	0	0
FBgn0010053	0.345	0	0	0
FBgn0010078	0.021	0	0	0
FBgn0010100	-0.119	0	0	0
FBgn0010173	0.247	0	0	0
FBgn0010194	0.517	0	0	0
FBgn0010198	-0.109	0	0	0
FBgn0010213	0.073	0	0	0
FBgn0010215	0.180	0	0	0
FBgn0010217	-0.146	0	0	0
FBgn0010220	-0.449	0	0	0
FBgn0010222	0.157	0	0	0
FBgn0010225	0.101	0	0	0
FBgn0010228	0.231	0	0	0
FBgn0010235	0.018	0	0	0
FBgn0010238	-0.131	0	0	0
FBgn0010246	-0.112	0	0	0
FBgn0010265	0.014	0	0	0
FBgn0010269	0.470	0	0	0
FBgn0010278	-0.269	0	0	0
FBgn0010280	-0.226	0	0	0
FBgn0010282	0.079	0	0	0
FBgn0010287	0.362	0	0	0
FBgn0010288	-0.019	0	0	0
FBgn0010292	-0.095	0	0	0
FBgn0010300	0.089	1	0	0
FBgn0010303	-0.094	0	0	0
FBgn0010309	-0.145	0	0	0
FBgn0010314	-0.583	0	0	0
FBgn0010315	-0.045	0	0	0
FBgn0010316	0.370	0	0	0
FBgn0010328	0.110	0	0	0
FBgn0010333	0.304	0	0	0
FBgn0010339	0.091	0	0	0
FBgn0010340	0.033	0	0	0
FBgn0010341	-0.155	0	0	0
FBgn0010342	0.516	0	0	0
FBgn0010348	0.203	0	0	0
FBgn0010350	-0.025	0	0	0
FBgn0010352	-0.224	0	0	0
FBgn0010355	-0.019	0	0	0
FBgn0010356	0.136	0	0	0
FBgn0010379	-0.317	0	0	0
FBgn0010380	0.060	0	0	0
FBgn0010388	0.805	0	0	0
FBgn0010389	-1.304	0	0	0
FBgn0010391	0.237	0	0	0
FBgn0010398	-0.656	0	0	0
FBgn0010406	0.053	0	0	0
FBgn0010408	-0.028	0	0	0
FBgn0010409	0.049	0	0	0
FBgn0010411	0.140	0	0	0
FBgn0010412	0.069	0	0	0
FBgn0010414	-0.176	0	1	0
FBgn0010416	0.109	0	0	0
FBgn0010417	-0.066	0	0	0
FBgn0010421	0.196	0	0	0
FBgn0010422	-0.109	0	0	0
FBgn0010434	-0.210	0	0	0
FBgn0010438	-0.120	0	0	0
FBgn0010441	0.143	0	0	0
FBgn0010470	0.204	0	0	0
FBgn0010488	-0.128	0	0	0
FBgn0010501	-0.172	0	0	0
FBgn0010504	0.046	0	0	0
FBgn0010516	-0.441	0	0	0
FBgn0010520	0.025	0	0	0
FBgn0010531	-0.198	0	0	0
FBgn0010548	0.345	0	0	0
FBgn0010551	-0.182	0	0	0
FBgn0010583	0.384	0	0	0
FBgn0010590	-0.069	0	0	0
FBgn0010591	0.182	0	0	0
FBgn0010602	0.164	0	0	0
FBgn0010607	0.061	0	0	0
FBgn0010611	-0.069	0	0	0
FBgn0010612	-0.121	0	0	0
FBgn0010621	-0.124	0	0	0
FBgn0010622	0.019	0	0	0
FBgn0010638	-0.028	0	0	0
FBgn0010651	0.434	0	0	0
FBgn0010660	0.083	0	0	0
FBgn0010741	0.018	0	0	0
FBgn0010747	0.106	0	0	0
FBgn0010750	-0.052	0	0	0
FBgn0010762	-0.055	0	0	0
FBgn0010768	-0.136	0	0	0
FBgn0010770	0.422	0	0	0
FBgn0010772	0.332	0	0	0
FBgn0010774	0.103	0	0	0
FBgn0010786	-0.073	0	0	0
FBgn0010803	0.215	0	0	0
FBgn0010808	0.293	0	0	0
FBgn0010812	-1.218	0	0	0
FBgn0010830	-0.498	0	0	0
FBgn0010877	-0.117	0	0	0
FBgn0010905	0.731	0	0	0
FBgn0010909	-0.111	0	0	0
FBgn0010926	-0.458	0	0	0
FBgn0011016	0.092	0	0	0
FBgn0011020	0.528	0	0	0
FBgn0011202	0.144	0	0	0
FBgn0011204	0.114	0	0	0
FBgn0011205	-0.078	0	0	0
FBgn0011207	0.397	0	0	0
FBgn0011211	0.010	0	0	0
FBgn0011217	-0.149	0	0	0
FBgn0011225	-0.207	0	0	0
FBgn0011227	-0.055	0	0	0
FBgn0011230	-0.295	0	0	0
FBgn0011232	0.290	0	0	0
FBgn0011236	-0.059	0	0	0
FBgn0011241	0.654	0	0	0
FBgn0011272	0.013	0	0	0
FBgn0011284	-0.072	0	0	0
FBgn0011289	-0.076	0	0	0
FBgn0011290	0.392	0	0	0
FBgn0011291	-0.917	0	0	0
FBgn0011297	0.030	0	0	0
FBgn0011305	-0.072	0	0	0
FBgn0011327	-0.262	0	0	0
FBgn0011335	0.423	0	0	0
FBgn0011336	0.094	0	0	0
FBgn0011361	-0.137	0	0	0
FBgn0011455	-0.021	0	0	0
FBgn0011476	0.765	0	0	0
FBgn0011509	0.089	0	0	0
FBgn0011566	-0.270	0	0	0
FBgn0011570	-0.043	0	0	0
FBgn0011571	0.301	0	0	0
FBgn0011573	-0.030	0	0	0
FBgn0011584	0.211	0	0	0
FBgn0011586	0.625	0	0	0
FBgn0011604	0.179	0	0	0
FBgn0011606	0.006	0	0	0
FBgn0011638	0.042	0	0	0
FBgn0011640	-0.158	0	0	0
FBgn0011648	-0.124	0	0	0
FBgn0011655	-0.448	0	0	0
FBgn0011659	-0.341	0	0	0
FBgn0011660	-0.161	0	0	0
FBgn0011661	0.087	0	0	0
FBgn0011672	0.254	0	0	0
FBgn0011692	0.150	0	0	0
FBgn0011703	0.176	0	0	0
FBgn0011704	0.102	0	0	0
FBgn0011705	0.297	0	0	0
FBgn0011708	0.020	0	0	0
FBgn0011710	-0.212	0	0	0
FBgn0011715	0.096	0	0	0
FBgn0011722	0.696	0	0	0
FBgn0011725	0.323	0	0	0
FBgn0011726	-0.021	0	0	0
FBgn0011737	-0.174	0	0	0
FBgn0011740	0.191	0	0	0
FBgn0011741	0.082	0	0	0
FBgn0011742	0.013	0	0	0
FBgn0011745	0.218	0	0	0
FBgn0011747	0.077	0	1	0
FBgn0011754	-0.028	0	0	0
FBgn0011760	0.230	0	0	0
FBgn0011762	-0.048	0	0	0
FBgn0011763	-0.067	0	0	0
FBgn0011766	0.276	0	0	0
FBgn0011768	0.113	0	0	0
FBgn0011769	0.265	0	0	0
FBgn0011770	-0.007	0	0	0
FBgn0011771	0.042	0	0	0
FBgn0011774	0.294	0	0	0
FBgn0011785	0.036	0	0	0
FBgn0011787	-0.250	0	0	0
FBgn0011824	-0.346	0	0	0
FBgn0011826	0.366	0	0	0
FBgn0011828	1.221	0	0	0
FBgn0011836	0.026	0	0	0
FBgn0012034	-0.152	0	0	0
FBgn0012036	-0.195	0	0	0
FBgn0012037	-0.143	0	0	0
FBgn0012042	0.904	0	0	0
FBgn0012051	-0.600	0	0	0
FBgn0012058	0.070	0	0	0
FBgn0013263	0.226	1	0	0
FBgn0013269	-0.175	0	0	0
FBgn0013272	0.293	0	0	0
FBgn0013277	-1.877	0	0	0
FBgn0013278	-0.354	0	0	0
FBgn0013279	-0.834	0	0	0
FBgn0013303	0.038	0	0	0
FBgn0013305	0.053	0	0	0
FBgn0013325	0.044	0	0	0
FBgn0013334	-0.837	0	0	0
FBgn0013347	0.042	0	0	0
FBgn0013432	-0.540	0	0	0
FBgn0013435	-0.043	0	0	0
FBgn0013531	-0.233	0	0	0
FBgn0013548	-0.322	0	0	0
FBgn0013563	-0.101	0	0	0
FBgn0013576	0.004	0	0	0
FBgn0013717	-0.118	0	0	0
FBgn0013720	-0.969	0	0	0
FBgn0013726	0.059	0	0	0
FBgn0013733	-0.407	0	0	0
FBgn0013746	0.396	0	0	0
FBgn0013749	0.103	0	0	0
FBgn0013750	-0.286	0	0	0
FBgn0013753	-0.070	0	0	0
FBgn0013756	0.093	0	0	0
FBgn0013759	-0.031	0	0	0
FBgn0013762	-0.320	0	0	0
FBgn0013763	-0.761	0	0	0
FBgn0013764	0.082	0	0	0
FBgn0013765	0.199	0	0	0
FBgn0013770	0.241	0	0	0
FBgn0013772	0.669	0	0	0
FBgn0013799	-0.151	0	0	0
FBgn0013954	0.098	0	0	0
FBgn0013981	0.011	0	0	0
FBgn0013983	-0.301	0	0	0
FBgn0013987	-0.082	0	0	0
FBgn0013997	-0.701	0	0	0
FBgn0014002	0.125	0	0	0
FBgn0014006	-0.923	0	0	0
FBgn0014009	0.242	0	0	0
FBgn0014010	-0.265	0	0	0
FBgn0014011	-0.771	0	0	0
FBgn0014018	-0.057	0	0	0
FBgn0014020	-0.456	0	0	0
FBgn0014022	0.006	0	0	0
FBgn0014023	-0.585	0	0	0
FBgn0014024	0.042	0	0	0
FBgn0014026	0.072	0	0	0
FBgn0014028	0.038	0	0	0
FBgn0014029	-0.131	0	0	0
FBgn0014032	0.158	0	0	0
FBgn0014075	-0.010	0	0	0
FBgn0014092	-0.257	0	0	0
FBgn0014127	-0.057	0	0	0
FBgn0014133	-0.078	0	0	1
FBgn0014141	-0.374	0	0	0
FBgn0014184	0.125	0	0	0
FBgn0014189	0.105	0	0	0
FBgn0014269	0.034	0	0	0
FBgn0014340	-0.337	0	0	0
FBgn0014342	0.160	0	0	0
FBgn0014366	-0.269	0	0	0
FBgn0014380	0.298	0	0	1
FBgn0014388	-0.014	0	0	0
FBgn0014391	0.100	0	0	0
FBgn0014411	0.156	0	0	0
FBgn0014417	-0.181	0	0	0
FBgn0014427	0.186	0	0	0
FBgn0014455	0.041	0	0	0
FBgn0014857	-0.057	0	0	0
FBgn0014861	0.136	0	0	0
FBgn0014865	0.981	0	0	0
FBgn0014868	0.088	0	0	0
FBgn0014869	0.490	0	0	0
FBgn0014870	0.352	0	0	0
FBgn0014877	-0.177	0	0	0
FBgn0014879	0.141	0	0	0
FBgn0014903	1.021	0	0	0
FBgn0014906	0.083	0	0	0
FBgn0014930	0.184	0	0	0
FBgn0014931	-0.850	0	0	0
FBgn0015000	-0.319	0	0	0
FBgn0015019	0.019	0	0	0
FBgn0015024	0.166	0	0	0
FBgn0015031	0.162	0	0	0
FBgn0015040	-0.023	0	0	0
FBgn0015075	-0.029	0	0	0
FBgn0015218	0.030	0	0	0
FBgn0015222	-0.053	0	0	0
FBgn0015239	-0.372	0	0	0
FBgn0015240	-0.554	0	0	0
FBgn0015245	-0.596	0	0	0
FBgn0015247	-0.344	0	0	0
FBgn0015268	-0.045	0	0	0
FBgn0015270	0.345	0	0	0
FBgn0015271	0.704	0	0	0
FBgn0015277	0.316	0	0	0
FBgn0015278	-0.172	0	0	0
FBgn0015279	-0.251	0	0	0
FBgn0015282	0.031	0	0	0
FBgn0015283	0.021	0	0	0
