utr_id	avg_expr	fc	orf_gc	orf_len	utr5_gc	utr5_len	utr3_gc	utr3_len	utr8	utr7m8	utr7A1	utr6	utro6	utr6A1
FBgn0000261	10.118	0.159	0.569	1521	0.412	182	0.355	290	0	0	0	0	0	0
FBgn0000273	7.854	-0.003	0.576	1062	0.486	1048	0.361	3202	0	0	0	0	1	0
FBgn0000279	5.228	0.807	0.552	192	0.323	93	0.386	101	0	0	0	0	0	0
FBgn0000283	8.354	0.171	0.524	3291	0.489	274	0.337	611	0	0	0	0	0	0
FBgn0000286	9.206	0.086	0.595	1533	0.414	319	0.336	1911	0	0	0	0	0	0
FBgn0000287	4.883	-0.142	0.563	3804	0.515	958	0.388	188	0	0	0	0	0	0
FBgn0000289	5.075	-0.096	0.574	2514	0.443	754	0.388	1460	0	0	0	0	0	0
FBgn0000299	7.447	0.565	0.616	5340	0.502	219	0.420	193	0	0	0	0	0	0
FBgn0000303	10.148	0.041	0.586	2166	0.516	428	0.442	251	0	0	0	0	0	0
FBgn0000307	7.182	0.186	0.497	5136	0.422	721	0.458	767	1	0	0	0	0	0
FBgn0000308	11.140	0.018	0.583	381	0.480	248	0.348	253	0	0	0	0	0	0
FBgn0000317	8.073	0.094	0.501	6504	0.463	449	0.276	297	0	0	0	0	0	0
FBgn0000318	9.190	0.034	0.577	381	0.470	215	0.355	93	0	0	0	0	0	0
FBgn0000319	10.289	0.057	0.522	5037	0.353	470	0.259	286	0	0	0	0	0	0
FBgn0000320	8.667	-0.107	0.616	2301	0.450	211	0.302	563	0	0	0	0	1	0
FBgn0000326	5.259	0.243	0.525	1689	0.411	107	0.333	48	0	0	0	0	0	0
FBgn0000330	4.554	-0.143	0.552	1248	0.315	54	0.329	167	0	0	0	0	0	0
FBgn0000339	8.661	0.071	0.455	435	0.442	86	0.368	307	0	0	0	0	0	0
FBgn0000346	11.139	0.042	0.549	2238	0.293	225	0.421	107	0	0	0	0	0	0
FBgn0000352	7.814	0.432	0.554	3606	0.463	136	0.347	674	0	0	0	0	1	0
FBgn0000370	12.053	-0.053	0.513	1146	0.412	628	0.345	470	0	0	0	0	0	0
FBgn0000376	6.733	-0.124	0.576	2949	0.451	133	0.421	755	0	0	0	0	1	0
FBgn0000377	6.448	-0.045	0.561	2109	0.417	120	0.301	103	0	0	0	0	0	0
FBgn0000382	10.097	-0.070	0.583	2838	0.465	858	0.378	3968	0	0	0	0	0	0
FBgn0000384	8.615	0.689	0.416	1374	0.377	382	0.297	400	0	0	1	0	0	0
FBgn0000394	9.028	0.324	0.566	774	0.479	607	0.318	201	0	0	0	0	0	0
FBgn0000406	12.338	-0.018	0.541	1311	0.494	89	0.262	65	0	0	0	0	0	0
FBgn0000409	11.801	0.233	0.593	327	0.419	86	0.321	268	0	0	0	0	0	0
FBgn0000411	6.560	-0.264	0.606	1149	0.473	1206	0.367	264	0	0	0	0	0	0
FBgn0000412	9.836	0.110	0.595	1068	0.378	307	0.319	436	0	0	0	0	0	0
FBgn0000414	7.650	-0.284	0.552	7083	0.453	552	0.374	666	0	0	0	0	0	0
FBgn0000416	12.024	0.046	0.534	2862	0.364	129	0.359	449	0	0	0	0	0	0
FBgn0000422	10.197	-0.967	0.563	1533	0.409	254	0.326	298	0	0	0	0	0	0
FBgn0000426	5.094	-0.078	0.581	267	0.397	121	0.342	79	0	0	0	0	0	0
FBgn0000439	6.785	0.086	0.562	1761	0.372	489	0.323	489	0	0	0	0	0	0
FBgn0000447	5.953	0.348	0.548	1218	0.333	132	0.320	122	0	0	0	0	0	0
FBgn0000448	7.117	0.804	0.568	2625	0.465	1206	0.336	2554	0	0	1	0	2	2
FBgn0000454	9.186	-0.014	0.566	1527	0.515	297	0.332	223	0	0	0	0	0	0
FBgn0000455	8.065	0.164	0.572	1476	0.338	376	0.273	99	0	0	0	0	0	0
FBgn0000459	8.373	-0.104	0.604	1707	0.429	566	0.392	798	0	0	0	1	0	0
FBgn0000464	8.942	-0.125	0.548	6099	0.400	926	0.366	1399	0	1	0	0	0	1
FBgn0000473	9.854	0.332	0.565	1521	0.508	59	0.340	94	0	0	0	1	0	0
FBgn0000477	8.684	1.758	0.540	1101	0.447	38	0.258	89	0	0	0	0	1	0
FBgn0000479	8.818	-0.295	0.567	3630	0.383	1352	0.325	154	0	0	0	0	0	0
FBgn0000489	8.962	-0.101	0.512	1752	0.244	41	0.267	210	0	0	0	0	0	0
FBgn0000490	7.034	0.310	0.588	1767	0.472	1200	0.400	1263	0	0	0	0	0	1
FBgn0000492	7.738	1.032	0.665	1548	0.444	250	0.381	754	0	0	0	0	0	0
FBgn0000497	4.508	-0.200	0.513	10671	0.440	810	0.429	653	0	0	0	0	1	0
FBgn0000499	5.840	-0.095	0.574	1872	0.478	473	0.319	499	0	0	0	0	0	0
FBgn0000500	10.892	0.830	0.488	426	0.556	27	0.267	116	0	0	0	0	0	0
FBgn0000504	5.486	0.082	0.637	1719	0.442	1263	0.307	1028	0	0	0	0	0	0
FBgn0000520	4.574	-0.161	0.595	1779	0.433	134	0.472	89	0	0	0	0	0	0
FBgn0000524	6.129	0.285	0.592	2217	0.461	414	0.360	1197	0	0	0	0	0	0
FBgn0000527	5.722	0.197	0.570	2640	0.381	299	0.414	203	0	0	0	0	0	0
FBgn0000536	10.370	0.263	0.487	1488	0.442	398	0.322	515	0	0	0	0	0	0
FBgn0000541	8.823	-0.174	0.446	8286	0.408	637	0.244	373	0	0	0	0	0	0
FBgn0000543	4.957	0.121	0.581	2055	0.463	82	0.313	67	0	0	0	0	0	0
FBgn0000546	7.341	0.038	0.580	2637	0.428	1063	0.412	311	0	0	0	0	0	0
FBgn0000547	7.082	-0.666	0.550	3999	0.389	432	0.374	634	0	0	0	0	0	0
FBgn0000556	13.576	-0.113	0.580	1392	0.267	90	0.395	554	0	0	0	0	0	0
FBgn0000557	12.145	-0.037	0.584	1389	0.444	180	0.418	1037	0	0	0	0	1	0
FBgn0000559	12.704	-0.084	0.534	2535	0.467	75	0.398	161	0	0	0	0	0	0
FBgn0000562	9.753	-0.165	0.561	3015	0.460	742	0.341	671	0	0	0	0	0	0
FBgn0000565	6.513	-0.005	0.550	786	0.254	67	0.244	127	0	0	0	0	0	0
FBgn0000566	6.698	-0.991	0.552	1182	0.519	77	0.301	103	0	0	0	0	0	0
FBgn0000567	5.922	0.859	0.618	2652	0.387	489	0.358	1612	0	0	0	0	0	0
FBgn0000568	7.774	-0.444	0.620	4239	0.340	1309	0.382	283	0	0	0	1	0	0
FBgn0000575	10.662	-0.086	0.608	600	0.432	264	0.328	1185	0	0	0	0	0	0
FBgn0000578	7.382	0.958	0.574	2943	0.500	254	0.408	409	0	0	0	1	0	0
FBgn0000579	11.826	0.374	0.595	1503	0.478	588	0.423	281	0	0	0	0	0	0
FBgn0000581	4.666	0.022	0.556	6102	0.500	1265	0.367	2187	0	0	0	0	0	0
FBgn0000592	11.693	-0.221	0.483	1635	0.512	41	0.250	36	0	0	0	0	0	0
FBgn0000611	9.640	0.036	0.553	1131	0.332	262	0.322	1024	0	0	0	0	0	0
FBgn0000617	4.648	0.527	0.613	837	0.347	98	0.344	189	0	0	0	0	0	0
FBgn0000618	5.438	0.280	0.565	306	0.387	142	0.255	55	0	0	0	0	0	0
FBgn0000633	6.837	-0.503	0.593	2469	0.461	853	0.360	2656	0	0	0	0	0	2
FBgn0000635	6.600	-0.284	0.559	2658	0.405	420	0.378	397	0	0	0	0	0	0
FBgn0000636	5.919	-0.132	0.579	1734	0.449	586	0.700	10	0	0	0	0	0	0
FBgn0000659	5.015	-0.633	0.612	1557	0.429	559	0.416	1914	0	0	0	0	0	0
FBgn0000662	9.371	0.142	0.572	1611	0.454	425	0.294	531	0	0	0	0	0	0
FBgn0000667	7.469	-0.169	0.582	2754	0.494	395	0.318	425	0	0	0	0	0	0
FBgn0000709	6.176	-0.105	0.557	3771	0.366	153	0.401	903	0	0	0	0	0	0
FBgn0000711	11.842	-0.193	0.569	1386	0.400	552	0.355	586	0	0	0	0	0	0
FBgn0000715	5.821	0.566	0.580	1044	0.528	108	0.349	275	0	0	0	0	0	0
FBgn0000719	8.887	0.534	0.528	2193	0.417	333	0.346	885	0	0	0	0	0	0
FBgn0000721	10.956	0.170	0.557	3267	0.438	624	0.484	161	0	0	0	0	0	0
FBgn0000723	9.211	-0.252	0.531	3978	0.480	342	0.320	638	0	0	0	0	0	1
FBgn0000810	6.183	0.358	0.559	1392	0.450	171	0.393	1489	0	0	0	0	1	1
FBgn0001078	7.042	0.105	0.558	3084	0.423	1326	0.298	997	0	0	0	0	0	0
FBgn0001079	5.884	0.120	0.575	2418	0.494	85	0.401	748	0	0	0	0	0	0
FBgn0001083	7.189	0.241	0.580	3525	0.403	591	0.318	582	0	0	0	0	0	0
FBgn0001084	5.002	1.412	0.528	1251	0.312	199	0.248	238	1	0	0	0	0	0
FBgn0001085	4.616	-0.181	0.555	1839	0.364	712	0.331	1266	0	1	0	0	0	0
FBgn0001087	8.779	-0.139	0.535	3105	0.412	238	0.306	510	0	0	0	0	0	0
FBgn0001089	5.495	0.282	0.550	2019	0.522	138	0.314	188	0	0	0	0	0	1
FBgn0001090	10.632	0.994	0.643	1329	0.369	358	0.456	445	0	0	0	0	0	0
FBgn0001091	11.325	0.376	0.598	999	0.396	260	0.398	221	0	0	0	0	0	0
FBgn0001092	12.380	0.334	0.567	999	0.419	117	0.370	327	0	0	0	0	0	0
FBgn0001098	11.149	-0.225	0.603	1689	0.500	90	0.375	416	0	0	0	0	0	0
FBgn0001104	8.028	0.648	0.537	1068	0.456	406	0.411	593	0	0	0	0	0	0
FBgn0001105	10.639	-0.228	0.562	1023	0.403	685	0.346	381	0	0	0	0	0	0
FBgn0001108	7.187	-0.171	0.550	3798	0.460	289	0.348	463	0	0	0	0	1	0
FBgn0001112	8.238	0.587	0.570	1839	0.422	348	0.317	712	0	0	0	0	0	0
FBgn0001114	10.846	-0.023	0.552	3081	0.442	163	0.248	129	0	0	0	0	0	0
FBgn0001122	9.989	-0.164	0.510	1065	0.427	391	0.366	986	0	0	0	0	0	0
FBgn0001123	10.066	0.183	0.427	1158	0.498	512	0.254	189	0	0	0	0	0	0
FBgn0001124	11.130	0.450	0.543	1314	0.333	33	0.349	335	0	0	0	0	0	0
FBgn0001125	11.811	-0.516	0.576	1296	0.229	70	0.376	194	0	0	0	0	0	0
FBgn0001128	11.349	0.473	0.560	1083	0.433	467	0.322	423	0	0	0	0	0	0
FBgn0001133	5.602	-0.082	0.565	1713	0.316	76	0.314	105	0	0	0	0	0	0
FBgn0001137	7.248	0.217	0.552	888	0.460	374	0.316	456	0	0	0	0	0	0
FBgn0001138	5.610	-0.203	0.644	2139	0.395	420	0.300	1531	0	0	0	0	0	0
FBgn0001139	8.011	-0.121	0.585	2193	0.487	515	0.320	294	0	0	0	0	0	0
FBgn0001142	11.320	0.288	0.585	1200	0.463	406	0.367	313	0	0	0	0	0	0
FBgn0001145	12.184	0.014	0.601	1122	0.383	230	0.382	361	0	0	0	0	0	0
FBgn0001149	11.913	0.024	0.587	630	0.364	88	0.328	125	0	0	0	0	0	0
FBgn0001150	4.787	0.451	0.584	1347	0.435	115	0.365	318	0	0	0	0	0	0
FBgn0001168	9.895	0.058	0.613	1014	0.444	491	0.380	830	1	0	0	0	0	0
FBgn0001169	7.526	0.450	0.581	3234	0.466	558	0.335	463	0	0	1	0	0	0
FBgn0001179	5.533	0.203	0.516	2397	0.352	159	0.354	48	0	0	0	0	0	0
FBgn0001185	4.732	0.146	0.498	1464	0.343	198	0.311	408	0	0	0	0	0	0
FBgn0001186	9.734	0.017	0.563	1626	0.407	329	0.397	557	0	0	0	0	0	0
FBgn0001187	9.715	0.321	0.551	1365	0.462	65	0.302	63	0	0	0	0	0	0
FBgn0001189	7.277	-0.050	0.542	1836	0.526	350	0.444	354	0	0	0	1	0	0
FBgn0001197	8.929	-0.030	0.596	426	0.488	164	0.339	579	0	0	1	0	0	0
FBgn0001202	9.296	-0.105	0.517	2040	0.364	118	0.283	159	0	0	0	0	0	0
FBgn0001208	11.638	0.594	0.530	1359	0.402	174	0.228	92	0	0	0	0	0	0
FBgn0001215	9.210	-0.426	0.564	1098	0.333	111	0.398	1052	0	0	0	0	0	0
FBgn0001216	6.391	-0.287	0.570	1926	0.475	118	0.306	124	0	0	0	0	0	0
FBgn0001218	11.058	0.256	0.564	1971	0.404	297	0.378	917	0	0	1	0	0	0
FBgn0001220	10.952	0.323	0.561	2061	0.442	269	0.355	592	0	0	0	0	0	0
FBgn0001222	8.997	0.160	0.518	2202	0.379	243	0.347	452	0	0	0	0	1	0
FBgn0001224	6.728	-0.277	0.576	561	0.328	116	0.349	172	0	0	0	0	0	0
FBgn0001225	5.959	1.030	0.593	627	0.364	239	0.319	144	0	0	0	0	1	0
FBgn0001226	4.991	-0.110	0.598	642	0.301	123	0.380	455	0	0	0	0	3	0
FBgn0001227	4.771	0.461	0.571	1338	0.474	95	0.323	300	0	0	1	0	0	0
FBgn0001229	6.371	-0.464	0.530	600	0.461	180	0.324	207	0	0	0	0	2	0
FBgn0001230	4.411	0.362	0.560	1908	0.340	206	0.248	117	0	0	0	0	0	0
FBgn0001233	12.307	0.121	0.554	2154	0.424	399	0.329	407	0	0	0	0	1	0
FBgn0001235	7.770	-0.131	0.550	1464	0.376	1277	0.325	1530	0	0	0	0	0	0
FBgn0001247	8.846	0.034	0.498	2973	0.439	346	0.292	120	0	0	0	0	0	0
FBgn0001248	11.873	0.473	0.560	1440	0.452	283	0.426	251	0	0	0	0	0	0
FBgn0001250	8.039	-0.261	0.565	4191	0.322	351	0.357	1276	0	0	0	0	0	1
FBgn0001257	8.760	0.011	0.595	804	0.552	58	0.331	127	0	0	0	0	0	0
FBgn0001258	5.869	0.132	0.608	999	0.428	138	0.358	254	0	0	0	0	0	0
FBgn0001263	11.588	0.087	0.545	2061	0.429	196	0.446	74	0	0	0	0	0	0
FBgn0001280	7.842	0.580	0.529	408	0.267	30	0.357	241	0	0	0	0	1	0
FBgn0001291	7.602	0.398	0.560	1119	0.396	235	0.281	171	0	0	0	0	0	0
FBgn0001296	8.478	-0.176	0.591	1839	0.594	192	0.486	290	0	0	0	0	0	0
FBgn0001297	6.177	0.021	0.606	2268	0.409	1217	0.331	1089	0	0	0	0	0	0
FBgn0001301	5.642	-0.293	0.540	4434	0.533	152	0.321	890	0	0	0	0	0	0
FBgn0001308	7.470	0.088	0.560	2928	0.479	486	0.319	304	0	0	0	0	0	0
FBgn0001316	9.695	-0.234	0.560	6819	0.416	1004	0.440	819	0	0	0	0	0	0
FBgn0001320	4.914	0.005	0.619	1305	0.420	100	0.356	506	0	0	0	0	0	0
FBgn0001323	5.207	-0.394	0.554	1944	0.407	964	0.235	17	0	0	0	0	0	0
FBgn0001324	5.186	-0.176	0.556	7596	0.435	62	0.341	82	0	0	0	0	0	0
FBgn0001404	7.726	0.138	0.544	1374	0.452	717	0.357	728	0	0	0	0	0	0
FBgn0001491	7.037	0.215	0.538	435	0.301	123	0.282	376	0	0	0	0	0	0
FBgn0001565	8.581	-0.327	0.550	1683	0.474	95	0.297	185	0	0	0	0	0	0
FBgn0001612	5.697	-0.037	0.499	2754	0.435	285	0.350	532	0	0	0	0	0	0
FBgn0001624	8.526	-0.345	0.568	3093	0.587	46	0.281	57	0	0	0	0	0	0
FBgn0001941	8.389	0.334	0.555	966	0.490	147	0.374	671	0	0	0	0	0	0
FBgn0001942	12.676	-0.095	0.554	1212	0.329	70	0.300	50	0	0	0	0	0	0
FBgn0001961	8.704	0.419	0.603	1134	0.492	323	0.436	275	0	0	0	0	0	0
FBgn0001965	7.706	-0.289	0.565	4791	0.548	398	0.350	446	0	0	0	0	0	0
FBgn0001970	4.902	2.227	0.587	1899	0.414	128	0.286	133	0	0	1	0	0	0
FBgn0001974	4.550	0.381	0.534	1284	0.418	79	0.286	406	0	0	0	0	0	0
FBgn0001977	5.067	0.504	0.544	747	0.395	86	0.453	1525	0	0	0	0	0	1
FBgn0001978	7.771	0.045	0.571	3321	0.507	410	0.348	414	0	0	0	0	1	0
FBgn0001986	5.177	0.322	0.545	3168	0.415	94	0.291	323	0	0	0	0	0	0
FBgn0001987	7.809	-0.023	0.544	2871	0.466	569	0.306	1028	0	0	0	0	0	0
FBgn0001989	9.953	0.211	0.633	504	0.412	102	0.327	104	0	0	0	0	0	0
FBgn0001991	9.402	-0.777	0.503	7659	0.439	995	0.346	332	0	0	0	0	0	0
FBgn0001994	9.346	0.125	0.582	1896	0.451	541	0.354	1100	0	0	0	1	0	0
FBgn0001995	6.903	0.479	0.545	891	0.440	50	0.296	71	0	0	0	0	0	0
FBgn0002021	4.603	0.343	0.534	1548	0.237	114	0.239	46	0	0	0	0	0	0
FBgn0002022	8.308	-0.054	0.540	1350	0.440	84	0.303	264	0	0	0	0	0	0
FBgn0002023	5.132	-0.120	0.597	1668	0.461	204	0.381	840	0	0	0	0	0	0
FBgn0002031	8.950	0.499	0.600	831	0.350	117	0.425	379	0	0	0	0	0	1
FBgn0002036	7.568	0.230	0.565	1515	0.380	379	0.310	158	0	0	0	0	0	0
FBgn0002044	9.678	0.046	0.569	3192	0.444	365	0.370	451	0	0	0	0	0	0
FBgn0002069	8.675	0.407	0.551	1596	0.460	387	0.350	263	0	1	0	0	1	0
FBgn0002121	8.370	0.059	0.440	3486	0.393	666	0.290	1376	0	0	0	0	0	0
FBgn0002174	6.098	-0.515	0.628	1563	0.370	73	0.476	168	0	0	0	0	0	0
FBgn0002283	6.081	-0.142	0.565	669	0.496	377	0.318	358	0	0	0	0	0	0
FBgn0002284	8.425	0.483	0.568	708	0.360	100	0.397	136	0	0	0	0	0	0
FBgn0002306	7.532	0.473	0.559	5082	0.437	563	0.355	591	0	0	0	0	0	0
FBgn0002354	8.129	0.140	0.574	333	0.362	69	0.322	149	0	0	0	0	0	0
FBgn0002413	9.252	0.173	0.594	1323	0.445	389	0.378	1343	0	0	0	0	0	0
FBgn0002431	8.749	0.224	0.489	8664	0.378	90	0.307	329	0	0	0	0	0	0
FBgn0002521	9.880	-0.232	0.367	1563	0.292	404	0.268	414	0	0	0	0	0	0
FBgn0002522	4.846	-0.196	0.607	1890	0.496	244	0.343	641	0	0	0	0	0	0
FBgn0002524	7.471	-0.044	0.537	1794	0.383	94	0.361	676	0	0	0	0	0	0
FBgn0002525	6.256	0.070	0.596	1869	0.423	501	0.348	1134	0	0	0	0	0	0
FBgn0002526	4.545	0.123	0.519	11139	0.469	207	0.331	344	0	0	0	0	0	0
FBgn0002552	5.290	0.080	0.581	2577	0.515	520	0.402	557	0	0	0	0	0	0
FBgn0002562	6.974	0.438	0.508	2451	0.457	92	0.329	82	0	0	0	0	0	0
FBgn0002563	11.415	1.433	0.556	2370	0.565	232	0.449	147	0	0	0	0	0	0
FBgn0002565	12.603	-0.834	0.558	2106	0.471	17	0.392	181	0	0	0	0	0	0
FBgn0002566	8.569	0.059	0.412	2526	0.257	101	0.346	81	0	0	0	0	0	0
FBgn0002567	10.647	-0.113	0.594	2061	0.457	140	0.414	570	0	0	0	0	1	0
FBgn0002576	6.004	-0.275	0.637	2481	0.455	222	0.354	765	0	0	0	0	1	0
FBgn0002579	12.139	0.287	0.583	348	0.429	21	0.442	113	0	0	0	0	0	0
FBgn0002590	11.568	0.121	0.585	687	0.396	578	0.296	115	0	0	0	0	0	0
FBgn0002593	12.891	-0.097	0.628	339	0.431	123	0.460	139	0	0	0	0	0	0
FBgn0002607	12.769	0.017	0.575	612	0.486	74	0.411	107	0	0	0	0	0	0
FBgn0002626	12.245	0.093	0.581	444	0.502	219	0.375	56	0	0	0	0	0	0
FBgn0002638	7.282	0.498	0.569	1644	0.463	404	0.356	317	0	0	0	0	0	0
FBgn0002641	4.443	0.471	0.533	2346	0.342	579	0.352	284	0	0	0	0	0	0
FBgn0002643	4.790	-0.225	0.601	4785	0.490	657	0.404	783	0	0	0	0	0	0
FBgn0002645	9.044	0.117	0.491	3558	0.413	445	0.268	306	0	0	0	0	0	0
FBgn0002719	11.337	0.238	0.554	2292	0.343	245	0.360	369	0	0	0	0	0	0
FBgn0002736	7.564	0.128	0.550	444	0.342	117	0.315	542	0	0	0	0	0	0
FBgn0002772	10.062	0.013	0.553	468	0.462	65	0.321	881	0	0	0	1	1	0
FBgn0002773	9.549	-0.715	0.572	669	0.492	65	0.362	1552	0	0	0	0	0	0
FBgn0002774	8.589	0.054	0.502	3882	0.262	84	0.250	96	0	0	0	0	0	0
FBgn0002775	5.724	-0.293	0.537	1539	0.351	111	0.253	320	0	0	0	0	0	0
FBgn0002778	6.316	0.085	0.540	1500	0.407	540	0.324	451	0	0	0	0	0	0
FBgn0002780	8.674	-0.236	0.465	1629	0.357	448	0.352	210	0	0	0	0	0	0
FBgn0002781	5.129	-0.354	0.595	1812	0.386	158	0.391	312	0	0	0	0	0	0
FBgn0002783	7.142	-0.365	0.556	3630	0.356	101	0.369	252	0	0	0	0	0	0
FBgn0002787	8.386	-0.266	0.565	1077	0.459	185	0.392	194	0	0	0	0	0	0
FBgn0002789	9.274	0.811	0.584	570	0.452	73	0.300	50	0	0	0	0	0	0
FBgn0002791	5.384	0.184	0.484	2409	0.346	78	0.368	68	0	0	0	0	0	1
FBgn0002868	12.538	-0.120	0.634	123	0.392	125	0.444	81	0	0	0	0	0	0
FBgn0002891	4.597	-0.382	0.521	6393	0.366	71	0.325	286	0	0	0	0	0	0
FBgn0002914	8.492	0.047	0.518	1974	0.421	656	0.271	210	0	0	0	0	0	0
FBgn0002921	11.864	-0.015	0.549	3126	0.154	26	0.337	406	0	0	0	0	0	0
FBgn0002930	10.356	-0.104	0.597	1431	0.383	94	0.324	108	0	0	0	0	0	0
FBgn0002932	7.036	0.352	0.576	2265	0.362	282	0.319	1070	0	0	0	0	1	0
FBgn0002936	9.933	0.322	0.573	714	0.433	60	0.381	97	0	0	0	0	1	0
FBgn0002937	9.559	-0.248	0.532	1863	0.463	136	0.382	165	0	0	0	0	1	0
FBgn0002938	9.187	-0.269	0.510	4506	0.506	180	0.261	157	0	0	0	0	0	0
FBgn0002940	13.663	-0.135	0.570	1122	0.426	176	0.310	290	0	0	0	0	0	0
FBgn0002945	6.848	0.068	0.602	2787	0.447	1082	0.317	1182	1	0	0	0	0	0
FBgn0002973	8.236	-0.189	0.600	1671	0.451	818	0.348	845	0	0	1	0	1	0
FBgn0003008	7.328	0.346	0.498	576	0.358	81	0.380	166	0	0	0	0	0	0
