utr_id	fc	orf_gc	orf_len	utr5_gc	utr5_len	utr3_gc	utr3_len	utr5p8	utr5p7m8	utr5p7A1	utr5p6	utr5po6	utr5p6A1	orf8	orf7m8	orf7A1	orf6	orfo6	orf6A1	utr8C	utr8G	utr8T	utr8	utr7m8	utr7A1	utr6	utro6	utr6A1	utr5
FBgn0000181	-0.031	0.608	510	0.415	82	0.426	882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000183	0.303	0.526	2409	0.464	891	0.329	849	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FBgn0000212	0.109	0.549	4977	0.433	127	0.294	235	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000221	0.375	0.599	978	0.34	144	0.369	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBgn0000228	-0.038	0.566	3357	0.468	359	0.337	950	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0
FBgn0000229	0.522	0.452	1119	0.415	532	0.26	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000239	0.27	0.508	2052	0.503	372	0.327	692	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
FBgn0000244	0.39	0.555	2163	0.407	27	0.394	2584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
FBgn0000247	0.003	0.553	5886	0.515	524	0.367	616	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0
FBgn0000250	0.286	0.564	1503	0.415	159	0.379	343	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
FBgn0000253	-0.435	0.533	450	0.406	207	0.349	5015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FBgn0000256	0.236	0.559	4086	0.399	281	0.353	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000257	-0.113	0.601	1920	0.502	235	0.361	1018	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000259	0.391	0.507	708	0.43	158	0.358	1526	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000261	-0.674	0.569	1521	0.412	182	0.352	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBgn0000276	0.892	0.526	192	0.351	74	0.205	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000277	1.065	0.505	192	0.378	82	0.198	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000278	-0.162	0.536	192	0.444	72	0.267	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000279	0.287	0.552	192	0.323	93	0.376	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000283	0.218	0.524	3291	0.489	274	0.337	611	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000289	0.191	0.574	2514	0.443	754	0.388	1460	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	2	0
FBgn0000299	0.348	0.616	5340	0.502	219	0.36	542	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0
FBgn0000308	-0.125	0.583	381	0.48	248	0.36	1462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FBgn0000316	-0.373	0.483	1806	0.325	120	0.272	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000317	0.159	0.501	6504	0.463	449	0.266	451	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000318	-0.282	0.577	381	0.47	215	0.344	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000319	0.14	0.522	5037	0.353	470	0.262	286	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0000326	-0.3	0.525	1689	0.411	107	0.312	48	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000330	-0.177	0.552	1248	0.315	54	0.426	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FBgn0000339	-0.144	0.455	435	0.442	86	0.349	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000352	0.015	0.554	3606	0.463	136	0.334	1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000370	-0.007	0.513	1146	0.412	628	0.343	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000376	0.026	0.576	2949	0.451	133	0.423	755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FBgn0000377	0.143	0.561	2109	0.417	120	0.301	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000392	-0.167	0.538	3354	0.362	486	0.421	466	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
FBgn0000394	-0.11	0.566	774	0.479	607	0.283	512	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000395	-1.011	0.597	2256	0.445	1082	0.382	991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FBgn0000404	0.225	0.513	1476	0.437	510	0.382	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000405	0.064	0.555	1593	0.404	267	0.413	773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000409	-0.028	0.593	327	0.419	86	0.321	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000412	0.111	0.595	1068	0.378	307	0.317	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000416	0.153	0.534	2862	0.364	129	0.356	449	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0
FBgn0000426	-0.213	0.581	267	0.397	121	0.354	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000447	0.166	0.548	1218	0.333	132	0.32	122	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000454	-0.435	0.566	1527	0.515	297	0.332	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000455	-0.103	0.572	1476	0.338	376	0.273	99	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000482	-0.193	0.564	3009	0.465	71	0.309	81	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0000499	0.26	0.574	1872	0.478	473	0.319	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000520	0.554	0.595	1779	0.433	134	0.461	89	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000524	-0.113	0.592	2217	0.461	414	0.359	1197	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000536	-0.044	0.487	1488	0.442	398	0.322	515	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBgn0000542	0.659	0.581	5298	0.418	347	0.406	1036	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000543	0.13	0.581	2055	0.463	82	0.313	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000556	0.029	0.58	1392	0.267	90	0.389	796	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000559	-0.051	0.534	2535	0.467	75	0.354	398	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
FBgn0000562	0.378	0.561	3015	0.46	742	0.34	671	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
FBgn0000565	-0.223	0.55	786	0.254	67	0.236	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000566	0.144	0.552	1182	0.519	77	0.288	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000578	0.236	0.574	2943	0.5	254	0.357	2017	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
FBgn0000579	-0.073	0.595	1503	0.478	588	0.361	573	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000581	0.319	0.556	6102	0.5	1265	0.346	3427	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2
FBgn0000588	-0.412	0.567	1278	0.424	170	0.363	256	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FBgn0000611	0.078	0.553	1131	0.332	262	0.301	1537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000615	-0.051	0.532	1599	0.344	151	0.398	881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000617	-0.033	0.613	837	0.347	98	0.339	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000618	0.592	0.565	306	0.387	142	0.255	55	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0000629	0.358	0.52	2298	0.39	118	0.222	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000662	-0.205	0.572	1611	0.454	425	0.292	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000667	0.026	0.582	2754	0.494	395	0.351	1719	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0000709	0.042	0.557	3771	0.366	153	0.401	903	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
FBgn0000711	-0.201	0.569	1386	0.4	552	0.312	2338	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
FBgn0000719	0.397	0.528	2193	0.417	333	0.405	2730	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1
FBgn0000721	-0.186	0.557	3267	0.438	624	0.365	704	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FBgn0000723	-0.449	0.531	3978	0.48	342	0.318	638	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000826	1.315	0.612	876	0.544	68	0.429	170	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000928	0.424	0.552	3129	0.45	100	0.341	273	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000996	0.056	0.549	2232	0.445	589	0.382	317	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0001079	0.069	0.575	2418	0.494	85	0.4	748	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0001086	-0.166	0.547	1581	0.331	145	0.322	270	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001091	0.15	0.598	999	0.396	260	0.394	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001092	-0.076	0.567	999	0.419	117	0.37	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001098	-0.357	0.603	1689	0.5	90	0.375	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001104	0.16	0.537	1068	0.456	406	0.411	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001105	-0.117	0.562	1023	0.403	685	0.317	3379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001108	0.111	0.55	3798	0.46	289	0.348	463	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0001114	0.705	0.552	3081	0.442	163	0.24	129	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0001123	0.41	0.427	1158	0.498	512	0.249	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001124	0.052	0.543	1314	0.333	33	0.349	335	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001125	-0.473	0.576	1296	0.229	70	0.376	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FBgn0001128	0.941	0.56	1083	0.433	467	0.332	953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FBgn0001133	-0.06	0.565	1713	0.316	76	0.324	105	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0001139	-0.075	0.585	2193	0.487	515	0.318	1306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0001142	1.398	0.585	1200	0.463	406	0.319	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001145	-0.945	0.601	1122	0.383	230	0.346	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001148	-0.161	0.57	1284	0.413	184	0.304	181	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0001149	-0.511	0.587	630	0.364	88	0.32	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001168	0.016	0.613	1014	0.444	491	0.38	830	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001179	-0.158	0.516	2397	0.352	159	0.354	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001185	0.063	0.498	1464	0.343	198	0.335	716	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0001186	0.145	0.563	1626	0.407	329	0.347	1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001189	-1.545	0.542	1836	0.526	350	0.408	852	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	2	0	2	0	1	0
FBgn0001197	0.108	0.596	426	0.488	164	0.339	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FBgn0001202	0.523	0.517	2040	0.364	118	0.283	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001206	0.438	0.525	4242	0.468	263	0.34	191	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
FBgn0001215	0.25	0.564	1098	0.333	111	0.397	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001218	0.345	0.564	1971	0.404	297	0.378	917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001220	-0.11	0.561	2061	0.442	269	0.355	592	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001222	-0.338	0.518	2202	0.379	243	0.345	452	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
FBgn0001223	-0.69	0.61	525	0.404	1186	0.265	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001224	-0.356	0.576	561	0.328	116	0.329	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001225	-0.734	0.593	627	0.364	239	0.319	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001226	-1.058	0.598	642	0.301	123	0.347	867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001230	-0.467	0.56	1908	0.34	206	0.239	117	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0001233	-0.123	0.554	2154	0.424	399	0.327	407	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001247	0.267	0.498	2973	0.439	346	0.283	120	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
FBgn0001248	-0.289	0.56	1440	0.452	283	0.422	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FBgn0001257	-0.241	0.595	804	0.552	58	0.343	831	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
FBgn0001276	0.427	0.556	567	0.385	78	0.244	82	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0001280	0.192	0.529	408	0.267	30	0.357	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001291	-0.834	0.56	1119	0.396	235	0.275	171	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0
FBgn0001297	0.21	0.606	2268	0.409	1217	0.33	1089	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
FBgn0001301	0.009	0.54	4434	0.533	152	0.32	890	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0001308	-0.039	0.56	2928	0.479	486	0.322	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FBgn0001316	0.195	0.56	6819	0.416	1004	0.401	1035	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
FBgn0001324	0.093	0.556	7596	0.435	62	0.341	82	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0
FBgn0001330	-0.119	0.535	3579	0.301	133	0.214	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001341	0.061	0.52	3402	0.372	113	0.242	165	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001404	0.43	0.544	1374	0.452	717	0.388	1212	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001491	-0.219	0.538	435	0.301	123	0.282	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001565	0.061	0.55	1683	0.474	95	0.29	338	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0
FBgn0001612	-0.251	0.499	2754	0.435	285	0.35	532	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
FBgn0001941	-0.305	0.555	966	0.49	147	0.373	671	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0001942	-0.054	0.554	1212	0.329	70	0.363	739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001961	-0.293	0.603	1134	0.492	323	0.436	275	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
FBgn0001965	0.117	0.565	4791	0.548	398	0.35	446	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001970	0.002	0.587	1899	0.414	128	0.286	133	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0001974	0.214	0.534	1284	0.418	79	0.286	406	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001977	-0.15	0.544	747	0.395	86	0.454	1525	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2
FBgn0001978	-0.104	0.571	3321	0.507	410	0.348	414	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001986	0.181	0.545	3168	0.415	94	0.288	323	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
FBgn0001987	-0.468	0.544	2871	0.466	569	0.306	1028	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	2	0	0	1	1
FBgn0001989	-0.142	0.633	504	0.412	102	0.404	386	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0001990	-0.821	0.526	1413	0.441	118	0.323	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001995	-0.28	0.545	891	0.44	50	0.296	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0002021	-0.131	0.534	1548	0.237	114	0.239	46	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FBgn0002022	0.147	0.54	1350	0.44	84	0.303	264	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1
FBgn0002031	-0.418	0.6	831	0.35	117	0.43	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0002044	0.128	0.569	3192	0.444	365	0.348	594	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0002069	-0.159	0.551	1596	0.46	387	0.346	263	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0002121	0.109	0.44	3486	0.393	666	0.289	1376	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FBgn0002174	-0.067	0.628	1563	0.37	73	0.47	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
